danci,yinbiao,yisi,liju
That's the spirit., ,这就对了，勇气可嘉（对对方的态度表示赞许）,
graduate,[ˈɡrædʒuət],除了表示“毕业、毕业生”，还表示“研究生”,"graduate student 研究生
masters 硕士
doctor 博士"
take this test and pass it, ,参加这个测试，通过它,
equation,[ɪˈkweɪʒ(ə)n],方程,"algebra  代数
geometry 几何"
analogy,[əˈnælədʒi],类比,That analogy really stinks. 这个类比真的很烂。... you make the analogy that they are fat ...
ginger,[ˈdʒɪndʒər],生姜,
inadequate,[ɪnˈædɪkwət],不足的,Supplies of food and medicines are inadequate. 食品和药物的供应是不足的。
proper,[ˈprɑːpər],适宜的，正规的,And some programs are not proper for children. 一些节目不适合孩子们看。  proper name 专有名词
I'm stuffed., ,我吃撑了,
take a food class, ,上了一个美食课程,
take effect, ,生效,"take effort 努力
take exercise 锻炼
take medicine 吃药"
is this seat taken?, ,这位子有人坐吗？,"No, please feel free. 没有，请便。
Sorry, someone is sitting here."
you can say that again, ,说的太对了,
that's for sure, ,那是一定的。,"It's a lot colder than Shanghai, that's for sure."
first come first served, ,先到先得,It's on first come first served basis  这遵循先到先得原则
put someone up, ,为某人提供住宿,my company put me up at the Hyatt hotel 我的公司安排我住在凯悦酒店
flights were grounded, ,航班停飞,
cower,[ˈkaʊər],蜷缩,The hostages cowered in their seats. 这些人质蜷缩在其座位上。
cozy,[ˈkoʊzi],舒适的,I found the lounge (等候室) such a cozy place to study in.
stamp/stomp foot, ,跺脚,I stamp my foot when I'm angry.
prey,[preɪ],猎物,
predator,[ˈpredətər],捕食者,predator were a threat to the herd(畜群)
roll call, ,点名,I should get to roll call. 我得去点名了。
false advertising, ,虚假广告,
persecution,[ˌpɜːrsɪˈkjuːʃn],迫害,...the persecution of minorities.  …对少数派的迫害。
subordinate,[səˈbɔːrdɪnət],从属、下级 [词源：sub+order],insubordination  违抗命令、不服从
establishment,[ɪˈstæblɪʃmənt],除了“成立”，还有一个“地点如机构”的意思,...who may have frequented this establishment
impede,[ɪmˈpiːd],妨碍、阻碍[正式],One shouldn't impede other's progress.
warrant,[ˈwɔːrənt],搜捕令,
shifty,[ˈʃɪfti],狡诈的、不可靠的,
brand new, ,崭新的,
corner,[ˈkɔːrnər],除了“角落”，还有“垄断”的意思,He's trying to corner the market. 他企图垄断市场。
rescind,[rɪˈsɪnd],撤销[正式],The governor does not have the authority to rescind the ruling. 该州长无权撤销这项裁决。
implore,[ɪmˈplɔːr],恳求,I implore you...
clench fist, ,攥紧拳头,
yank,[jæŋk],猛拉,
gasp,[ɡæsp],倒吸气(表震惊、害怕),Every but the jade emperor gasped.
pluck,[plʌk],采摘、拔,Wukong plucked a peach from a branch and bit into it.
lit up, ,亮起来、亮出(表情),"His eyes lit up  他眼前一亮
His eyes sparkled. 他的眼睛闪闪发光"
nod,[nɑːd],点头,She nodded and smiled. 她点点头笑了。
hurl,[hɜːrl],用力投掷,
lid,[lɪd],盖子,"close the lid 盖上盖子
take the lid off 掀开盖子"
behave yourself, ,规矩点(劝告),
soar,[sɔːr],急剧增加、翱翔,I can soar through the sky on clouds.
shore,[ʃɔːr],岸边,They walked down to the shore. 他们往下走到了岸边。
hold out, ,伸出,He held out his hand.
palm,[pɑːm],棕榈树、手掌,Wukong stepped up onto Buddha's palm.
moss,[mɔːs],苔藓,
hurry out, ,匆忙出去,Let's hurry out to see what happened.
marvelous,[ˈmɑːrvələs],极好的,
priest,[priːst],牧师、神父,"monastery 修道院
monk 僧侣"
robe,[roʊb],长袍,
gaze,[ɡeɪz],凝视,"Late that night the priest was awake, gazing at the robe."
crumble,[ˈkrʌmb(ə)l],崩塌、碎裂,
clang,[klæŋ],叮当,"clank  叮当、咣当
smash 哗啦
crack 破裂
poof 噗"
tumble,[ˈtʌmb(ə)l],跌倒、(价格或水平)暴跌,Rocks tumbled and rollded downhil. 岩石滚下山坡
pat,[pæt],轻拍,The black wind king patted the priest on the shoulder.
fall to knees, ,双膝跪地,He fell to his kness. 他跪在地上。
belly,[ˈbeli],肚子,
satisfied,[ˈsætɪsfaɪd],满意的,satisfactory 令人满意的
grade,[ɡreɪd],成绩、年级,
size,[saɪz],size12表示12码（注意size在前，尺码数字在后）,
loaf,[loʊf],可做面包的量词 “一条”,a loaf of sliced bread 一条切片面包
redeem,[rɪˈdiːm],挽回、赎回、兑换,redeemer 救世主
use up, ,用完、耗尽,We have used up all the paper.
sobbing,[ˈsɒbɪŋ],啜泣,
red potion, ,红色药水 (常见于游戏),
mourn,[mɔːrn],哀悼,mourn for the dead  为死者哀悼
maritime,[ˈmærɪtaɪm],海洋的,maritime trade 海洋贸易
ambush,[ˈæmbʊʃ],埋伏、伏击,You should set up an ambush here.
fortune telling, ,算命,fortune teller 算命先生
psychic,[ˈsaɪkɪk],通灵者、灵媒,
just for kicks, ,= just for fun  只是为了好玩,
postpone,[poʊˈspoʊn],推迟,
jump in, ,快点进来 (不是真的让他人跳进来),
pouring,[ˈpɔːrɪŋ],倒(水)、下大雨,It's pouring outside. 外面下着瓢泼大雨。
slump,[slʌmp],暴跌、不景气、瘫倒,"Net profits slumped by 41% 净利润暴跌了41%
economic slump 经济衰退
She slumped into a chair. 她瘫倒在椅子上"
whip,[wɪp],鞭子、鞭打,
scowl,[skaʊl],怒视、怒容,Her grin changed to scowl.
tend,[tend],除了“倾向”，还有“照看、护理”的意思,Please go outside and tend the horse.
growl,[ɡraʊl],低吼、咆哮,His stomach started to growl with hunger. 他的肚子已开始饿得咕咕叫了。
gulp,[ɡʌlp],大口吞下（也可以模仿吞下去的声音）,
rot,[rɑːt],腐烂,"rotten 腐烂的
rotten idea 馊主意
rotten monkey 臭猴子"
anatomy,[əˈnætəmi],解剖学,
vessel,[ˈves(ə)l],船舰,blood vessel 血管
organs,[ˈɔrɡən],器官,
intestine,[ɪnˈtestɪn],肠子,
kidney,[ˈkɪdni],肾脏,
liver,[ˈlɪvər],肝脏,
bladder,[ˈblædər],膀胱,
see-saw,[ˈsiː sɔː],跷跷板,
hyper,[ˈhaɪpər],亢奋的、精力旺盛的,I was incredibly hyper. I couldn't sleep.  我太亢奋了，根本无法入睡。
treadmill,[ˈtredmɪl],跑步机,lift weights 举重
chimney,[ˈtʃɪmni],烟囱,Santa came down the chimney.
leftover,[ˈleftoʊvər],剩饭,How long was it left out？ 剩了多久了
dice,[daɪs],除了“骰子”，还有“把食物切块”的意思,Dice the onion and boil in the water for about fifteen minutes. / diced vegetables 切碎的蔬菜
bacteria,[bækˈtɪriə],细菌,
germ,[dʒɜːrm],病菌,
refrigerate,[rɪˈfrɪdʒəreɪt],冷藏,"Then I refrigerate it soon after we finished eating,
refrigerator 冰箱"
apron,[ˈeɪprən],围裙,let me just put my apron on.
degree centigrade, ,摄氏度,degree fahrenheit  (法伦海特) 华氏度
batter,[ˈbætər],面糊,
consistency,[kənˈsɪstənsi],还有“粘稠度”的意思,
nursery rhyme, ,童谣、儿歌,
utility bill, ,物业账单,
classy,[ˈklæsi],上乘的、高档的,
suite,[swiːt],套间,"junior suite 普通套间
superior suite 高级套间"
get on someone's case, ,挑某人的刺、说三道四,She is always getting on his case about cleaning his room.
notoriously,[noʊˈtɔːriəsli],众所周知的（词源：know + notice）,
remedy,[ˈremədi],解决方法、补救、疗法,The only remedy for that is practice.
cheque,[tʃek],支票,
facial,[ˈfeɪʃ(ə)l],面部的、面部护理,You want to go get a facial with me today?
manicure,[ˈmænɪkjʊr],美甲  （词源：manual 手 + cure）,
pedicure,[ˈpedɪkjʊr],修脚 （词源：pedi 足 + cure）,
beauty spa, ,美容院,
moisturizer,[ˈmɔɪstʃəraɪzər],保湿霜,
doomed,[duːmd],注定的,Their plans were doomed to failure.  他们的计划注定要失败。
dew,[duː],露水,
acupuncture,[ˈækjupʌŋktʃər],针灸,
alleviate,[əˈliːvieɪt],减轻、缓解(不适),alleviate depression and anxiety as well as anger.
inflict,[ɪnˈflɪkt],遭受,I don't want to inflict anymore pain on myself.
in a little while, ,再过一会,
restore,[rɪˈstɔːr],恢复,Troops were sent in to restore order.  部队被派去恢复秩序。
brother in law, ,姐 \ 妹夫,sister in law 嫂 \ 姨子
vaccine,[vækˈsiːn],疫苗,vaccination  接种疫苗
eradicate,[ɪˈrædɪkeɪt],根除、消灭 【词源：radic -根】,Surely we will aim to finally eradicate disease and poverty.  当然，我们的目标是最终能够消灭疾病和贫困。
marble,[ˈmɑːrb(ə)l],大理石,
interior,[ɪnˈtɪriər],内部、内部的,"interior design 室内设计
in the interior of the tomb..."
commute,[kəˈmjuːt],通勤,Mike commutes to Beijing every day.
collateral,[kəˈlætərəl],抵押物【词源：col-强调 later-边】,
persuade,[pərˈsweɪd],说服、劝服,My husband persuaded me to come.
nickel,[ˈnɪk(ə)l],5美分、镍,
dime,[daɪm],10美分,
quarter,[ˈkwɔːrtər],25美分,
penny,[ˈpeni],便士,
spare change, ,零钱,Do you have any spare change?
wire money, ,汇款,
con artist, ,骗子[俚],
urban legend, ,都市传说,
gullible,[ˈɡʌləb(ə)l],易受骗的,
get tricked, ,被骗,
drugged,[drʌɡd],被麻醉,She was drugged and robbed.
subliminal,[ˌsʌbˈlɪmɪn(ə)l],潜意识的,
satanic,[səˈtænɪk],邪恶的、撒旦的,
far-fetched,[ˌfɑːr ˈfetʃt],牵强的、太扯的,The storyline was too far-fetched and none of the actors was particularly good.
buy me dinner, ,请我吃晚饭,
cholesterol,[kəˈlestərɔːl],胆固醇,
mood swing, ,情绪波动,I have been having a lot of mood swing lately.
ecstatic,[ɪkˈstætɪk],狂喜的,
not in the mood, ,没有心情,
Let's agree to disagree., ,那我们就接受不同观点（求同存异）,
man up, ,拿出男子气,"We're counting on you here, man. Man up, man!"
you have a point, ,你说的有道理.,
consequence,[ˈkɑːnsɪkwens],后果,accept the consequences for your action.
wage,[weɪdʒ],工资,minimum wage 最低工资
going rate, ,现行价格、市价,What's the going rate of computer programmers?
gateway,[ˈɡeɪtweɪ],通道、途径,
feverish,[ˈfiːvərɪʃ],发烧的,I am feeling feverish.
mix up, ,混淆,People often mix me up with other actors.
jarring,[ˈdʒɑːrɪŋ],刺耳的，令人不快的,"the sound is jarring
comments is jarring"
glossary,[ˈɡlɑːsəri],词汇表,
in droves, ,成群结队的（drove 是 drive的过去式）,"In june, their employees were quitting in droves. 6月份，他们的员工纷纷辞职。"
companion,[kəmˈpænjən],同伴,
orchard,[ˈɔːrtʃərd],果园,
a puff of wind, ,一阵风,
fang,[fæŋ],尖牙,"The monster had a purple bread and long, sharp fangs."
peek,[piːk],偷看,He saw the horse peeking from behind a wall.
sb's eyes blaze with fury, ,闪耀着怒火,
puddle,[ˈpʌd(ə)l],水坑,
hood,[hʊd],兜帽,
cliff,[klɪf],悬崖,
frantic,[ˈfræntɪk],忙乱的、发狂似的,She clutched frantically at Emily's arm.
snort,[snɔːrt],轻蔑的发出哼声,
roast,[roʊst],烤,roast duck 烤鸭
every once in a while, ,时不时、每隔一段时间,
sleep in, ,睡懒觉,"I really love the weekends, where I can sleep in."
puny,[ˈpjuːni],弱小的、微不足道的  our puny human brains,
get sidetracked by, ,分心,
contingency,[kənˈtɪndʒənsi],意外事件,I need to examine all possible contingencies.
invoice,[ˈɪnvɔɪs],发票,We will then send you an invoice for the total course fees.
glide,[ɡlaɪd],滑行、滑翔,The plane managed to glide down to the runway.
grazers,[ˈɡreɪzər],食草动物,
tactic,[ˈtæktɪk],策略、战术,
later on, ,后来，以后,"I shall explain that later on.
Later on, it led to the invention of lightening rod."
pigeon,[ˈpɪdʒɪn],鸽子,
kinetic,[kɪˈnetɪk],动力的,kinetic energy 动能
invariably,[ɪnˈveriəbli],一贯的、始终的,"They almost invariably get it wrong.  他们几乎总是将它弄错。
【词源：in + variable 可变的】"
forefront,[ˈfɔːrfrʌnt],前沿,They have been at the forefront of the campaign for political change. 他们一直处于政治变革运动的前沿。
breed,[briːd],养殖、繁殖、滋生（犯罪、腐败）,"breed crimes\corrupt
过去式：bred"
mentor,[ˈmentər],导师,
perceive,[pərˈsiːv],认为、看待,How do the people of Argentina perceive this problem?
sketchy,[ˈsketʃi],粗略的,Details of what actually happened are still sketchy.
loose,[luːs],松的、松散的,One of the screws is loose.  有一颗螺丝松了。
off the top of one's head, ,脑海中立马想到,It was the best I could think of off the top of my head. 这是我能马上想出的最好办法。
all goes back to, ,一切归结于,it all goes back to the way that you think. 一切都取决于你的思维方式
bedtime,[ˈbedtaɪm],就寝时间,bedtime story 睡前故事
weed,[wiːd],杂草,smoking weed 抽大麻
amount to, ,相当于 The banks have what amounts to a monopoly. 这些银行几乎接近于垄断。,
binge eating, ,暴饮暴食,
sober,[ˈsoʊbər],清醒的、未喝醉的,
hangover,[ˈhæŋoʊvər],宿醉,
impulsive,[ɪmˈpʌlsɪv],冲动的,
nail,[neɪl],钉子、指甲,hit the nail on the head 正中要害
nail down, ,弄清、确定 (类似于汉语的“敲定”这种比喻),Don't try to nail down what it is you're studying.
demanding,[dɪˈmændɪŋ],苛刻的、苛求的,So we should be easy on ourselves and not be too demanding.
burnout,[ˈbɜːrnaʊt],精疲力竭,research has indicated that it can lead to burnout.
dilemma,[dɪˈlemə],困境、窘境,He was faced with the dilemma of whether or not to return to his country.
turning point, ,转折点,
oral speaking, ,口语,
banquet,[ˈbæŋkwɪt],宴会,
dress code, ,着装要求,The company has a strict dress code—all male employees are expected to wear suits
disorient,[dɪsˈɔːrient],失去方向的,The loss of a loved one can make a person feel completely disoriented.
reach for, ,伸手去拿,Have you ever tried to reach for your phone when your alarm clock rings?
confusional, ,精神恍惚的,arousal n. 唤醒
known as, ,被称为...,Then you may have what's known formally as confusional arousal. / be formally known as
alienate,[ˈeɪliəneɪt],冷落、疏远,词源：alien 外国的、陌生的
condition,[kənˈdɪʃ(ə)n],"除了“条件”, 还有“疾病”的意思",More than 1 in 7 people in the US may suffer from the condition.
in the process of, ,在... 的过程中,
respondent,[rɪˈspɑːndənt],被调查人,Sixty percent of the respondents said they disapproved of the president's performance.
episode,[ˈepɪsoʊd],除了指电视或小说的“集、节”，还指“事件、经历”,I tried to wipe the whole episode from my mind.
busted,[ˈbʌstɪd],被逮捕、被抓现行的,
hold sth hostage, ,挟持..作人质,"Stop allowing your cellphone to hold your attention and mind hostage.
time hold you hostage.
held hostage by time"
reclaim,[rɪˈkleɪm],收回、要求归还,It is time to reclaim your attention span.
span,[spæn],时间段,"life span 寿命、使用期限
time span 时间跨度
attention span 注意力时间"
prioritize,[praɪˈɔːrətaɪz],优先考虑,The organization was formed to prioritize the needs of older people. 这个机构是为优先满足老年人的需要而成立的。
point-blank,[ˌpɔɪnt ˈblæŋk],直截了当的、近距离的,"ask me point-blank
at point-blank range."
errand,[ˈerənd],差事,She went off on some errand.  她出去办事了。
brush aside, ,漠视、置之不理,How can she brush aside the others' feelings? 她怎么能无视别人的感受？
freelancer,[ˈfriːlænsər],自由职业者,
farm out, ,外包,"Scores of U.S. companies farm out software development. 许多美国公司外包软件开发。
assign work or service to an outsider."
outsource,[ˈaʊtsɔːrs],[正式]外包，subcontract   也有外包的意思,
proactive,[ˌproʊˈæktɪv],积极主动的 = take initiative,In order to survive the competition a company should be proactive not reactive. 一个公司应积极行动而非被动应变
kitten,[ˈkɪt(ə)n],小猫,
distraction,[dɪˈstrækʃ(ə)n],分心,We have a lot of distractions in the office.
bitterness,[ˈbɪtərnəs],苦味、怨恨,Bitterness can eat away at your soul.  痛苦会吞噬你的灵魂。
offer to do sth., ,主动提出做某事,"if you're in the middle of something, offer to meet at a later time."
ahead of the game, ,领先,You're getting ahead of the game.
rich in rewards, ,富有奖励,
paralyze,[ˈpærəˌlaɪz],使瘫痪、使麻痹,Don't let fear paralyze you.
moving company, ,搬家公司,
counterpoint,[ˈkaʊntərpɔɪnt],与...形成鲜明对比,The sharp lines of the furniture counterpoint their bright colors.
tranquil,[ˈtræŋkwɪl],宁静的,"She led a tranquil life in the country. 她过着恬静的乡村生活。
【词源：tran-quite】"
only so much, ,只有这些,"There‘s only so much space in the refrigerator, so don't bring home too many groceries."
cleaner,[ˈkliːnər],干洗店、清洁工、清洁剂,
hit,[hɪt],处于某种目的去某处,I' going to hit the mall /bank/ grocery store  this afternoon.
congestion,[kənˈdʒestʃən],拥堵、堵塞,traffic congestion 交通拥塞
bumper,[ˈbʌmpər],保险杠,"bumper to bumper 一辆接一辆（形容交通拥挤）
bumper to bumper traffic is a common sight during rush hour."
fit in, ,找时间做,"I got a nap in this afternoon, that means I was able to fit some time in for a nap."
post-it, ,便利贴,
guzzle,[ˈɡʌz(ə)l],狂饮,"gas guzzler 油老虎
xxx guzller 指消耗很多xxx的东西"
wrestle,[ˈres(ə)l],摔跤,wrestle with 与...角力、努力克服
spiral,[ˈspaɪrəl],螺旋形、螺旋式的(上升或下降),Production costs began to spiral. 生产成本开始加速上涨。
foodie,[ˈfuːdi],美食家、吃货,
name,[neɪm],还可以表示说出...的名字,I don't event think I can name all the members.
wear makeup, ,带妆,Do you like men who wear makeup.
ice hockey, ,冰球,
perky,[ˈpɜːrki],活泼的、有活力的,You'll finally be somebody who is perky.
perk up, ,增长、振作起来,He perks up and jokes with them. 他振作起来，和他们开着玩笑。
throughout the day, ,整天,I feel tired and sleepy throughout the day.
sluggish,[ˈslʌɡɪʃ],缓慢的、迟钝的,"He felt very heavy and sluggish after the meal.
slug 鼻涕虫
metal slug 合金弹头"
on a consistent basis, ,在连续的基础上，引申为“不断地”意思,"Setting up goals is easy, but following them on a consistent basis is difficult."
the kind of, ,这种,I'm not the kind of person who creates problems.
tissue,[ˈtɪʃuː],纸巾、组织,"muscle tissue 肌肉组织
fibrous tissue 纤维组织"
purge,[pɜːrdʒ],清除、铲除(异己),"The purge 大清洗
purge his mind of anxiety 清除心中的焦虑"
inhibit,[ɪnˈhɪbɪt],抑制、阻碍、阻止,"be inhibited from doing sth.
The high cost of borrowing is inhibiting investment.
inhibit the process"
tweak,[twiːk],扭、微调,"So the simle tweak that I did, is to ... 所以我做的简单的微调是..."
cumulate,[ˈkjʊmjəˌlet],积累,"cumulative  累积性的
So the effect in cumulative.  那么这种效应是累积性的。"
dictated by, ,取决于,The choice of computer is dictated by our special needs.  对计算机的选择取决于我们的特殊需求。
play on/with my phone., ,玩手机,
sedentary,[ˈsed(ə)nteri],久坐的,The sedentary lifestyle was draining my enery.  这种久坐不动的生活方式耗尽了我的精力。
Use it to your advantage, ,好好利用它,
physician,[fɪˈzɪʃ(ə)n],医师[正式],Consult with your physician before using this product. 使用本产品前，请咨询您的医生。
reasonable amount of ..., ,适量的...,
mortal,[ˈmɔːrt(ə)l],致命的、终有一死的、凡人   all men are mortal 人终有一死,
immortal,[ɪˈmɔːrt(ə)l],不朽的,
mortality,[mɔːrˈtæləti],死亡人数,"mortality risk 死亡风险
mortality rate 死亡率"
siren,[ˈsaɪrən],特殊车辆的警报器、海妖,He cleared off when he heard the police siren. 他听到警笛便逃之夭夭。
physical and psychological, ,生理和心理,
mighty,[ˈmaɪti],[文学]非常、强大的,
causation,[kɔːˈzeɪʃn],因果关系,"but correlation dosen't mean causation.
但相关性并不意味着因果关系"
cheat sheet, ,小抄、备忘单,
chalk,[tʃɔːk],粉笔,
ask for it, ,自找苦吃,"Your boyfriend broke up with you? Well, you kinda asked for it. You never made time for him."
certify,[ˈsɜːrtɪfaɪ],给...作证、认证,I can certify to his innocency. 我可以证明他清白。
certification,[ˌsɜːrtɪfɪˈkeɪʃ(ə)n],证书、证明、认证,"quality certification 质量认证
teacher certification 教师资格证"
render,[ˈrendər],还有“致使，使...变得”的意思,It contained so many errors as to render it worthless. 太多的错误使之变得毫无价值。
identify specific time, ,确认具体的时间,
bite-sized,[ˈbaɪt saɪzd],(大小)适口的,
basketball hoop, ,篮球框,
diligent,[ˈdɪlɪdʒənt],勤奋的,"When I first started language learning, I was extreamly diligent."
ketchup,[ˈketʃəp],番茄酱,
vinegar,[ˈvɪnɪɡər],醋,
genesis,[ˈdʒenəsɪs],起源、《创世纪》,How did you what was the genesis of this idea? 你们这个点子是怎么产生的？
jam on the brakes, ,紧急刹车,I had to jam on the brakes sharply to avoid hitting two schoolchildren.
take the lead, ,带头、领先,Glasgow has pledged to take the lead in reducing carbon emissions in the UK.
peel,[piːl],皮、剥皮、剥落,"peel off 剥掉
Peel an apple for the child. \ Peel and cube the potatoes"
Let me take it one step further, ,进一步讲,
field research, ,实地考察、实地研究,
northern hemisphere, ,北半球,
i mean it, ,我是认真的,
provision,[prəˈvɪʒ(ə)n],供给、规定、条款,The Constituion of US does have a provision about the right to bear arms in the Bill Rights.
bear,[ber],还有“携带、带有(标记)”的意思,"The houses bear the marks of bullet holes 带有弹孔的房子.
These items bear a price tag. 这些商品带有价格标签。"
object to, ,反对,I really object to being charged for parking. 我非常反对收停车费。
with flying colors, ,出色的,I'm sure you'll pass with flying colors.
I take it that..., ,依我看。。。,
last resort, ,最后的手段,"if not, I might have to go to my last resort."
spellbinding,[ˈspelbaɪndɪŋ],引人入胜的,
or so, ,大约、左右,Let's choose 100 or so items at random.  我们随机选大约100件商品
roll,[roʊl],可做量词“卷”,4 rolls of tiolet paper.  4卷厕纸
sachet,[sæˈʃeɪ],小袋,6 sachets of washing powder. 6小袋洗衣粉
immaculate,[ɪˈmækjələt],完美无瑕的,The goalie's performance was immaculate.
ice rink, ,溜冰场,
creep,[kriːp],悄悄进行、蔓延,prevent work form creeping into your personal life. 阻止工作偷偷进入你的私人生活
reflect,[rɪˈflekt],反射、反映、深思、反省,I need time to reflect.
hold accountable for, ,对...负责,
midday,[ˌmɪdˈdeɪ],中午,
drowsy,[ˈdraʊzi],昏昏欲睡的,I feel kind of drowsy.
get into \ on \ off the bus, ,上车、下车,
get down to, ,开始着手处理,I like to get down to work by 9. 我喜欢在9点之前开始工作。
get back home, ,回家,
pedestrian,[pəˈdestriən],行人,
sprinkle,[ˈsprɪŋk(ə)l],撒,Sprinkle a little salt on the rice.
flail,[fleɪl],胡乱挥动,The boy flailed his arms trying to hold on to a brach when he fell form the tree.
for the sake of, ,为了...(的利益),for the sake of simplicity/ fair/ showing off 为了方便、公平、显摆
joint,[dʒɔɪnt],关节、联合的、共有的,"joint statement 联合声明
joint responsibility 共同的责任"
harmonious,[hɑːrˈmoʊniəs],和睦的、融洽的,We have a harmonious family.
advent,[ˈædvent],出现,Since the advent of television... 自从电视出现以来。。。
lather up, ,打泡沫,"I lather up with soap/ shaving cream, then rinse and dry off."
razor,[ˈreɪzər],剃须刀,
faucet,[ˈfɔːsɪt],水龙头,
knob,[nɑːb],把手、旋钮,
sink,[sɪŋk],水槽,
drain,[dreɪn],排水管,
round,[raʊnd],圆形,
square,[skwer],正方形,
and so forth ..., ,等等、之类的,
swish,[swɪʃ],指“快速移动嘴中的水来清洁口腔”的行为,I swish it around 30 seconds.
gargle,[ˈɡɑːrɡl],嘴里发出咕噜咕噜的声音,
cabinet,[ˈkæbɪnət],储柜、内阁,medicine cabinet 医药柜
cupboard,[ˈkʌbərd],橱柜,
thermos,[ˈθɜːrməs],热水瓶、保温瓶,
briefcase,[ˈbriːfkeɪs],公文包,
head toward, ,走向 head down to,
stick shift, ,手动挡 (manual transmission),Would you want the stick shift or the automatic?
vending machine, ,自动售货机,
vender,[ˈvendər],小贩,
memorandum,[ˌmeməˈrændəm],备忘录,(简写：memo)
in charge of, ,负责,The manager is the person that is in charge of a certain group of people.
headquarters,[ˈhedkwɔːrtərz],总部,
stand in line, ,排队,Everyone should stand in line when buying tickets.
kick back, ,[口语]放松,
stall,[stɔːl],暂停、熄火,stalled car 抛锚的车
ski,[skiː],滑雪,
snugly,[ˈsnʌɡli],舒适的、贴身的,make sure your boots fit sugly. 确保你的靴子合脚
goggles,[ˈɡɑːɡ(ə)lz],护目镜,
spill,[spɪl],洒,take a few spills 洒几次水
freeway,[ˈfriːweɪ],高速公路,
stop by, ,顺便去...,I decide to stop by the market./ stop by the hospital
checkout stand, ,收银台、结账处,"Luckily, they have a lot of checkout stands open."
cashier,[kæˈʃɪr],收银员,
trunk,[trʌŋk],汽车的后备箱 [美],I open the trunk and load everything up.
lane,[leɪn],车道、小路,We have freeways that have six or seven lanes.
get out, ,还有“拿出”的意思,He gets out his book to read.
mat,[mæt],垫子,place mat 餐具垫
couch,[kaʊtʃ],长沙发,
chill out, ,放松,my wife and I each sit down on the couch to chill out.
thumb through, ,翻阅,
recycling bin, ,回收站,
nod off, ,打盹、打瞌睡,
I'm so beat, ,累死我了,
shoot the breeze, ,吹牛、闲扯,"When I'm with friends,I can just shoot the breeze all day long."
muggy,[ˈmʌɡi],潮湿闷热的,I hate it most when it's muggy outside.
cast about, ,(精神或视觉上)四处寻找,"I'm always casting about searching for something to talk about.
I'm casting about a new pen."
cosmetics,[kɑːzˈmetɪks],化妆品,
medication,[ˌmedɪˈkeɪʃ(ə)n],药物,Over-the-counter medications 非处方药(OTC) ，表面意思是“可以在柜台买到的药”
signature,[ˈsɪɡnətʃər],签名,
lobster,[ˈlɑːbstər],龙虾,
crab,[kræb],螃蟹,
funny,[ˈfʌni],除了“好笑”的，还有“不适的”的意思,My stomach felt funny. 我的胃感觉不对劲。
to be waited on, ,被服侍,"Confined to bed, he needed to be waited on in everything."
foot the bill, ,付账,Who's going to foot the bill for tonight's dinner?
envelope,[ˈenvəloʊp],信封,
clueless,[ˈkluːləs],无知的,He's completely clueless about computers.
sticky situation, ,棘手的状况,It's a very sticky situation. Handle with care. 这是很棘手的状况，要小心处理。
tactful,[ˈtæktfl],有分寸的、得体的,That wasn't a very tactful thing to say!
pick your brain, ,向你请教下,Would you mind if I pick your brain for half an hour?
drawback,[ˈdrɔːbæk],缺点、弊端,
affection,[əˈfekʃ(ə)n],感情、喜爱、关怀,"I still have affection for my old school.  我对母校依然很有感情。
Children need lots of love and affection.孩子需要多多疼爱和关怀。"
abiding,[əˈbaɪdɪŋ],持久的(感情、记忆、兴趣),"law-abiding 遵纪守法的
we saw the abiding love of tradition."
monarchy,[ˈmɑːnərki],君主制,
swing by, ,路过顺便去,I'm going to swing by the coffee shop on my way home.
age,[eɪdʒ],还可以表示“变老”,He seemed to have aged in the last few months.
in ages, ,很久,I hadn't seen her in ages.
final offer, ,最终报价,$1500 is my final offer.
drive a hard bargain, ,极力讨价还价,"You drive a hard bargain! OK, that's the deal.  你真会讨价还价！好吧，就这么定了。"
hammer out, ,制定出(锤成),I think we can hammer out a solution.
keynote,[ˈkiːnoʊt],基调、主旨,The keynote of his speech was unity. 他讲话的基调是团结。
groundbreaking,[ˈɡraʊndbreɪkɪŋ],开创性的,...groundbreaking research ...开拓性的研究。
soul-searching,[ˈsoʊl sɜːrtʃɪŋ],深刻的反省,My year was spent doing a lot of soul-searching and trying to find out what had gone wrong in my life.
cocky,[ˈkɑːki],自以为是的,She said I should be confident but not cocky.
meek,[miːk],温顺的,
submissive,[səbˈmɪsɪv],顺从的、唯唯诺诺的,
sound advice, ,忠告,He gave me some very sound advice.
rerun,[ˈriːrʌn],重播、重映,I just watched the rerun of Pride and Prejudice.
walk all over sb, ,专横跋扈对待某人,
take credit for sth, ,认为是自己的功劳,
have nerve to do sth., ,有胆子做某事,
fallout,[ˈfɔːlaʊt],核辐射、后果,
hear me out, ,听我说完,Don't worry. Just hear me out. 别着急，且听我说完。
exquisite,[ɪkˈskwɪzɪt],精美的,
mingle,[ˈmɪŋɡ(ə)l],交际、应酬,
indifferent,[ɪnˈdɪfrənt],漠不关心的、平庸的,People have become indifferent to the suffering of others.
snuggle,[ˈsnʌɡ(ə)l],依偎,Jane snuggled up against his shoulder. 简依偎在他的肩膀上。
contestant,[kənˈtestənt],参赛者,
vibrate  vibration, ,震动,An earthquake is a vibration that travels through the earth's crust
tip of tongue, ,舌尖,
omit,[əˈmɪt],省略、不做,
